Chef Red Onion - Large,1.12,Fruits & Vegetables,700g,UP: $1.40 ,
Pasar Enoki Mushroom,1.35,Fruits & Vegetables,300g,Buy 2 for $2.00 ,
Sakura Bean Sprouts,1.3,Fruits & Vegetables,320g,UP: $1.45 ,
Pasar White Button Mushroom,3.25,Fruits & Vegetables,200g,UP: $3.55 ,
Zespri New Zealand Kiwifruit - SunGold,4.95,Fruits & Vegetables,4 per pack,UP: $5.65 ,
Iceberg Lettuce,1.35,Fruits & Vegetables,400g,UP: $1.60 ,
Freshco China Fresh Celery,1.75,Fruits & Vegetables,1 per pack,UP: $2.00 ,
Hokto Mushroom - Buna Shimeiji,1.5,Fruits & Vegetables,100g,Buy 3 for $3.00 ,
Chef Shiitake Mushroom,2.25,Fruits & Vegetables,250g,UP: $2.40 ,
Vietnam Prepacked Japanese Sweet Potato,2.45,Fruits & Vegetables,750g,UP: $2.60 ,
Indonesia Honey Sweet Potato,2.5,Fruits & Vegetables,750g,UP: $2.70 ,
Go Fresh Baby Qing Bai,1.75,Fruits & Vegetables,300g,Buy 2 for $3.00 ,
Hokto Mushroom - White Shimeiji,1.5,Fruits & Vegetables,100g,Buy 3 for $3.00 ,
Vietnam Prepacked Sweet Potato - Purple,2.45,Fruits & Vegetables,750g,UP: $2.60 ,
Join Hing King Oyster Mushroom,1.8,Fruits & Vegetables,250g,UP: $2.00 ,
Pasar Organic Sweet Corn,3.45,Fruits & Vegetables,2 per pack•Organic,UP: $3.75 ,
FairPrice Frozen Edamame Salted Soy Beans,3.1,Fruits & Vegetables,500g,Buy 2 for $5.00 ,
Zespri New Zealand Organic Kiwifruit - Green,3.95,Fruits & Vegetables,4/6 per pack•Organic,UP: $4.50 ,
Pasar Holland Swiss Brown Mushroom,4.0,Fruits & Vegetables,200g,UP: $4.20 ,
Chef China Shanghai Green,1.1,Fruits & Vegetables,250g,Buy 2 for $1.00 ,
Organic New Zealand Fuji Apple,4.95,Fruits & Vegetables,900g•Organic,UP: $6.55 ,
Enza New Zealand Pacific Rose Apple,3.65,Fruits & Vegetables,3 per pack,UP: $4.25 ,
Pasar Organic Chye Sim,2.15,Fruits & Vegetables,200g•Organic,UP: $2.45 ,
Driscoll's USA Raspberries,3.95,Fruits & Vegetables,80g,UP: $4.95 ,
Pasar China Fresh White Peach,2.95,Fruits & Vegetables,4 per pack,UP: $3.95 ,
China Baby Yam,1.65,Fruits & Vegetables,500g,UP: $1.80 ,
Hokto Maitake Mushroom,1.5,Fruits & Vegetables,100g,Buy 3 for $3.00 ,
China Winter Date,2.25,Fruits & Vegetables,350g,UP: $3.50 ,
Asia Evergreen Frozen Edamame (Kernels),3.2,Fruits & Vegetables,500g,Buy 2 for $4.00 ,
Australia Premium Sweet Potato,5.5,Fruits & Vegetables,1kg,UP: $5.95 ,
Pasar Thai Young Coconut,2.3,Fruits & Vegetables,1 per pack,Buy 2 for $3.00 ,
Pasar Royal Gala Apple,2.25,Fruits & Vegetables,800g,UP: $4.50 ,
USA Green Grapes (Seedless),4.45,Fruits & Vegetables,500g,UP: $5.90 ,
New Zealand Envy Apples,3.65,Fruits & Vegetables,3 per pack,UP: $4.25 ,
Pasar Organic Kailan (Hong Kong),3.5,Fruits & Vegetables,250g•Organic,UP: $3.80 ,
China Mango,4.95,Fruits & Vegetables,1 per pack,Buy 2 for $4.00 ,
Pasar Malaysia Pomelo - Medium,4.95,Fruits & Vegetables,1 per pack,UP: $6.80 ,
Pasar Malaysia Ipoh Tambun Pomelo - Small,3.95,Fruits & Vegetables,1 per pack,UP: $4.80 ,
Asia Evergreen Frozen Edamame,3.2,Fruits & Vegetables,500g,Buy 2 for $4.00 ,
Pasar USA October Sun Plum,4.95,Fruits & Vegetables,600g,UP: $5.95 ,
Gold China Red Heart Kiwi,2.25,Fruits & Vegetables,3 per pack,UP: $3.90 ,
Pasar USA White Nectarine,5.95,Fruits & Vegetables,900g,UP: $7.95 ,
Pasar USA Prunes - Sierra Sweet,5.95,Fruits & Vegetables,600g,UP: $6.95 ,
Berryfield Whole Frozen Strawberries,15.6,Fruits & Vegetables,1kg,UP: $19.50 ,
CB Mixed Vegetables,2.76,Fruits & Vegetables,1000G•Halal,UP: $2.90 ,
Organic Italy Royal Gala Apple,3.95,Fruits & Vegetables,4 per pack•Organic,UP: $5.95 ,
Outspan Gems Mandarin,2.65,Fruits & Vegetables,500g,UP: $3.95 ,
Zespri New Zealand Kiwifruit - Green,6.95,Fruits & Vegetables,8 per pack,UP: $8.65 ,
Berryfield Whole Frozen Blueberries,15.6,Fruits & Vegetables,1kg,UP: $19.50 ,
Wah Harvest Australia Chat Potato - White,2.6,Fruits & Vegetables,1kg,Buy 2 for $4.00 ,
US Russet Potato Pack,2.35,Fruits & Vegetables,1kg,UP: $2.80 ,
Blush Sweet Delights Premium Snacking Tomatoes,3.95,Fruits & Vegetables,200g,UP: $4.65 ,
Moon Drop USA Black Grapes,8.5,Fruits & Vegetables,500g,UP: $8.95 ,
Pasar Organic Cucumber - Mini,3.85,Fruits & Vegetables,500g•Organic,UP: $4.10 ,
CB Sweet Corn,3.61,Fruits & Vegetables,1000G•Halal,UP: $3.80 ,
P&L Fresh Mushroom - Abalone,2.95,Fruits & Vegetables,150g,Buy 2 for $4.00 ,
Champ Fungi Mushrooms - Sliced White Button,2.7,Fruits & Vegetables,125g,Buy 2 for $4.00 ,
China Premium Shine Muscat,8.95,Fruits & Vegetables,700g,UP: $9.50 ,
RHYM China Red Flesh Pomelo,3.95,Fruits & Vegetables,1 per pack,UP: $4.50 ,
Sunkist Australia Delite Mandarin,2.45,Fruits & Vegetables,400g,UP: $4.95 ,
Blush Sun Delights Golden Snacking Tomatoes,3.95,Fruits & Vegetables,200g,UP: $4.65 ,
Sunny Fruit Pomelo Gift Box,15.25,Fruits & Vegetables,2 per pack,UP: $16.80 ,
FairPrice Frozen Fresh Garden Peas,2.1,Fruits & Vegetables,400g,UP: $2.35 ,
Korean Campbell Grape,5.45,Fruits & Vegetables,400g,UP: $5.95 ,
China Kiwiberries,2.5,Fruits & Vegetables,125g,UP: $3.95 ,
Pasar Prepacked Carrots,0.95,Fruits & Vegetables,500g,- ,
Fresh Tomatoes,1.85,Fruits & Vegetables,600g,- ,
Gold Beijing Cabbage,1.0,Fruits & Vegetables,600g,- ,
Chef Yellow Onion - Large,1.45,Fruits & Vegetables,700g,- ,
Pasar Malaysia Young Ginger,1.6,Fruits & Vegetables,200g,- ,
Pasar Xiao Bai Chye,0.9,Fruits & Vegetables,220g,- ,
Sumifru Sweet Mountain Banana,3.95,Fruits & Vegetables,820g,- ,
Pasar Japanese Cucumber,1.2,Fruits & Vegetables,250g,- ,
Pasar Thailand Spring Onion,1.5,Fruits & Vegetables,100g,- ,
Pasar Seedless Red Watermelon,5.95,Fruits & Vegetables,1 per pack,- ,
Pasar Long Bean,1.35,Fruits & Vegetables,200g,- ,
Pasar Sweet Corn,1.3,Fruits & Vegetables,2 per pack,- ,
China Premium Fuji Apple,4.25,Fruits & Vegetables,4 per pack,- ,
Sakura Pearl Brinjal,1.7,Fruits & Vegetables,300g,- ,
Pasar Lady Finger,1.25,Fruits & Vegetables,250g,- ,
Pasar Malaysia Spring Onion,0.8,Fruits & Vegetables,100g,- ,
Pasar Red Chili Padi,0.8,Fruits & Vegetables,100g,- ,
Pasar Round Spinach,0.9,Fruits & Vegetables,220g,- ,
Pasar Cherry Tomatoes,1.4,Fruits & Vegetables,250g,- ,
Sumifru Philippines Banana,2.45,Fruits & Vegetables,700g,- ,
Pasar Thailand Baby Corn,0.8,Fruits & Vegetables,100g,- ,
Gold Australian Broccoli,3.0,Fruits & Vegetables,250g,- ,
Chef Chinese Spinach (Phuay Leng),1.6,Fruits & Vegetables,250g,- ,
Chef Red Onion - Small,1.75,Fruits & Vegetables,500g,- ,
Pasar Malaysia Seedless Guava,2.95,Fruits & Vegetables,600g,- ,
Pasar Thailand Chinese Parsley,1.25,Fruits & Vegetables,50g,- ,
Pasar Thailand Baby Kailan,1.55,Fruits & Vegetables,200g,- ,
Gold Round Cabbage,1.9,Fruits & Vegetables,1.5kg,- ,
Sumich Autralian Gourmet White Potatoes,2.55,Fruits & Vegetables,1kg,- ,
Pasar Cai Sim,0.9,Fruits & Vegetables,220g,- ,
Lovacado Avocado,8.95,Fruits & Vegetables,3 per pack,- ,
Pasar Australia Mandarin,7.95,Fruits & Vegetables,900g,- ,
Pasar Lemongrass,1.0,Fruits & Vegetables,100g,- ,
Pasar French Bean,2.0,Fruits & Vegetables,250g,- ,
Gold Green Capsicum,1.65,Fruits & Vegetables,300g,- ,
Pasar Baby Bittergourd,1.0,Fruits & Vegetables,250g,- ,
Gold Red Capsicum,1.95,Fruits & Vegetables,300g,- ,
Gold Australia Wong Bok,5.9,Fruits & Vegetables,1.5kg,- ,
Kok Fah Fresh Vegetable - Baby Spinach,1.1,Fruits & Vegetables,200g,- ,
Pasar Large Lime,1.4,Fruits & Vegetables,250g,- ,
Pasar Asparagus Fine,1.9,Fruits & Vegetables,120g,- ,
Zespri New Zealand Kiwifruit - Green,4.35,Fruits & Vegetables,4 - 6 per pack,- ,
Nature's Best Brastagi Potatoes - Granola (Washed),3.2,Fruits & Vegetables,1kg,- ,
Chef Yau Mak Chye,1.7,Fruits & Vegetables,300g,- ,
Hupco Fresh Lemon,3.5,Fruits & Vegetables,500g,- ,
Budget Pandan Leaves,0.65,Fruits & Vegetables,100g,- ,
Pasar Red Chili,1.7,Fruits & Vegetables,200g,- ,
Pasar Fresh Oyster Mushroom,1.2,Fruits & Vegetables,150g,- ,
Sumifru Poongmi Wang Banana,4.95,Fruits & Vegetables,820g,- ,
Zespri New Zealand Kiwifruit - SunGold (Organic),7.95,Fruits & Vegetables,600g•Organic,- ,
Go Fresh White Radish,2.5,Fruits & Vegetables,1 per pack,- ,
Sumifru Kamsookwang Pineapple,2.85,Fruits & Vegetables,1 per pack,- ,
Pasar Potato,4.8,Fruits & Vegetables,3kg,- ,
Pasar Red Onion,5.8,Fruits & Vegetables,3kg,- ,
Pasar Sweet Beans,1.45,Fruits & Vegetables,150g,- ,
